class, acc_train, acc_dev, loss, val_loss, epochs_run, Fscore, precision, recall
vocalic, 0.8588499426841736, 0.8571029901504517, 0.315794438123703, 0.327370285987854, 10, 0.8663651819192643, 0.8689016222254929, 0.8654305468258957
consonantal, 0.8257049322128296, 0.8167331218719482, 0.3841916024684906, 0.402042031288147, 10, 0.8216719756819706, 0.8260389448244, 0.8218180389692018
back, 0.8104614615440369, 0.8100047707557678, 0.3875465989112854, 0.40270155668258667, 10, 0.8433016249162962, 0.9012728807595008, 0.8172218730358265
near-back, 0.9389298558235168, 0.9175382852554321, 0.14154627919197083, 0.16058480739593506, 10, 0.9569515215953979, 0.9947018679844885, 0.9259820867379007
central, 1.0, 1.0, 4.151072516833665e-07, 2.6363366600890004e-07, 10, 1.0, 1.0, 1.0
near-front, 0.8520294427871704, 0.770695149898529, 0.2784518599510193, 0.35939309000968933, 10, 0.8832397515821732, 0.9780841023164573, 0.8200502828409805
front, 0.8451926112174988, 0.8773437738418579, 0.31853920221328735, 0.370360791683197, 10, 0.8893173199186244, 0.911821919531445, 0.8780169704588309
open, 0.8980323672294617, 0.9279575943946838, 0.20745061337947845, 0.2640073895454407, 10, 0.9363258875239514, 0.9744808332238546, 0.912578566939032
near-open, 0.8834084272384644, 0.9231425523757935, 0.24928894639015198, 0.3401199281215668, 10, 0.9379479576655979, 0.9690698515565822, 0.9192331866750472
mid-open, 0.8267696499824524, 0.7858020067214966, 0.3747390806674957, 0.3843480050563812, 10, 0.8579723128682386, 0.929400588224403, 0.8218573224387178
mid-close, 0.8543877005577087, 0.8403300642967224, 0.2738955318927765, 0.2974820137023926, 10, 0.9046202352119906, 0.9757662427540527, 0.8583909490886235
near-close, 0.8519930839538574, 0.7711814641952515, 0.2843796908855438, 0.3545147776603699, 10, 0.879724726617436, 0.9731214145558786, 0.8198302954116907
close, 0.907541811466217, 0.9038265347480774, 0.2175687551498413, 0.19921767711639404, 10, 0.9301350586630339, 0.9668597496670083, 0.9108029541169076
nasal, 0.9056413769721985, 0.8638392686843872, 0.21906104683876038, 0.2587924003601074, 10, 0.9084904503760466, 0.9513553029144538, 0.8882699560025141
lateral, 0.9029905796051025, 0.9364157915115356, 0.2005407065153122, 0.26754897832870483, 10, 0.9385999061742698, 0.9664936023011742, 0.9235072281583909
flap, 1.0, 1.0, 4.002119737833709e-07, 2.5179562612720474e-07, 10, 1.0, 1.0, 1.0
voice, 0.7982885241508484, 0.8074138760566711, 0.43145161867141724, 0.42933017015457153, 10, 0.8060223925031161, 0.8064804396036106, 0.8057510999371464
voiceless, 0.8720694184303284, 0.8927295804023743, 0.2957933247089386, 0.29425546526908875, 10, 0.8958850698144054, 0.9038393516316116, 0.8928661219358893
fricative, 0.8889425992965698, 0.8940768241882324, 0.2595217823982239, 0.2903858721256256, 10, 0.9030865424214206, 0.9145172398842183, 0.8985150848522941
plosive, 0.8650889992713928, 0.8595344424247742, 0.31358277797698975, 0.3056761622428894, 10, 0.880477836040345, 0.9058403180672315, 0.870985229415462
affricate, 0.9431050419807434, 0.9454719424247742, 0.12592437863349915, 0.11139360815286636, 10, 0.9544579009756509, 0.9865013898806566, 0.9329195474544312
approximant, 0.8602380156517029, 0.7819515466690063, 0.3026086986064911, 0.3338426351547241, 10, 0.8328066369406254, 0.9367523976372987, 0.7853001257071025
lateral-approximant, 0.9034665822982788, 0.9374760985374451, 0.2003408968448639, 0.26158571243286133, 10, 0.9385864100428023, 0.9666325568105697, 0.9234443746071653
labiodental, 0.9243659377098083, 0.9384645819664001, 0.19680550694465637, 0.2397385835647583, 10, 0.937807006402866, 0.9718493219006218, 0.9180389692017599
dental, 0.8984465599060059, 0.8799664974212646, 0.24702012538909912, 0.2455229014158249, 10, 0.9128301894643231, 0.9663785653739633, 0.8816310496543055
alveolar, 0.8006668090820312, 0.7915497422218323, 0.4203607738018036, 0.4129526913166046, 10, 0.7954912786633671, 0.8190673930864643, 0.7892284726587052
alveopalatal, 0.9564117193222046, 0.9600844979286194, 0.10447037220001221, 0.09169218689203262, 10, 0.9585327677959865, 0.9804177081438936, 0.9465823381521056
glottal, 0.923922598361969, 0.9542809128761292, 0.1866064965724945, 0.33937832713127136, 10, 0.9662678696460992, 0.9896233390991499, 0.9495285983658077
bilabial, 0.8407957553863525, 0.8125557899475098, 0.3234390318393707, 0.32221147418022156, 10, 0.854316987311969, 0.9269623418332495, 0.8218101822752986
velar, 0.8659829497337341, 0.8670918345451355, 0.28946590423583984, 0.2720613479614258, 10, 0.895281138846791, 0.9562701197744425, 0.8619814582023885
pause, 0.9211809635162354, 0.9158800840377808, 0.1830596625804901, 0.15320254862308502, 10, 0.9317325274191738, 0.9686887442113508, 0.9127985543683218
